event_id,triplet_id,method,event_date,exit_date,pnl_date,split,strategy,side,label,outcome,exit_reason,predicted_reversion_probability,entry_z_score,exit_z_score,spread_pnl_units,position_size,gross_pnl,transaction_cost,net_pnl,turnover,holding_period,cost_scenario,commission_per_trade,bid_ask_spread_proxy,slippage,total_cost_per_unit,cost_drag
evt_0000,JPM_XLF_KRE,kalman,2022-01-03,2022-01-17,2022-01-17,validation,baseline_rule_based,short_spread,0,failure,stop_loss,0.48665810437564533,2.178819807669874,3.5700644280248914,-1.3912446203550175,1.0,-1.3912446203550175,0.0,-1.3912446203550175,2.0,14,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0001,XOM_XLE_USO,kalman,2022-01-04,2022-01-07,2022-01-07,validation,baseline_rule_based,long_spread,1,success,reversion,0.7325643003786587,-2.7196049547899674,-0.0038253937178520936,2.7157795610721154,1.0,2.7157795610721154,0.0,2.7157795610721154,2.0,3,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0002,AAPL_QQQ_XLK,kalman,2022-01-05,2022-01-12,2022-01-12,validation,baseline_rule_based,short_spread,0,failure,max_holding,0.19278548282752342,1.9773996576612058,1.8845795498839335,0.09282010777727234,1.0,0.09282010777727234,0.0,0.09282010777727234,2.0,7,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0003,JPM_XLF_KRE,kalman,2022-01-06,2022-01-16,2022-01-16,validation,baseline_rule_based,long_spread,0,failure,max_holding,0.2977598521877482,-1.6406323605967978,-0.9668026381595292,0.6738297224372687,1.0,0.6738297224372687,0.0,0.6738297224372687,2.0,10,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0004,XOM_XLE_USO,kalman,2022-01-07,2022-01-15,2022-01-15,validation,baseline_rule_based,short_spread,1,success,reversion,0.8155228797239571,3.1486112427978616,0.39247453383327213,2.7561367089645894,1.0,2.7561367089645894,0.0,2.7561367089645894,2.0,8,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0005,NVDA_SMH_QQQ,kalman,2022-01-10,2022-01-21,2022-01-21,validation,baseline_rule_based,long_spread,0,failure,max_holding,0.21276463610396312,-2.4586754671255187,-1.2794081898780156,1.179267277247503,1.0,1.179267277247503,0.0,1.179267277247503,2.0,11,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0006,XOM_XLE_USO,kalman,2022-01-11,2022-01-24,2022-01-24,validation,baseline_rule_based,short_spread,0,failure,max_holding,0.31781928768395923,2.595345635657119,1.8048599909292984,0.7904856447278206,1.0,0.7904856447278206,0.0,0.7904856447278206,2.0,13,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0007,JPM_XLF_KRE,kalman,2022-01-12,2022-01-16,2022-01-16,validation,baseline_rule_based,long_spread,1,success,reversion,0.804449209588801,-2.4806814879544357,-0.12867974394433546,2.3520017440101,1.0,2.3520017440101,0.0,2.3520017440101,2.0,4,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0008,NVDA_SMH_QQQ,kalman,2022-01-13,2022-01-18,2022-01-18,validation,baseline_rule_based,short_spread,0,failure,stop_loss,0.630807464687269,2.3081136485408913,3.4134176838005894,-1.1053040352596981,1.0,-1.1053040352596981,0.0,-1.1053040352596981,2.0,5,zero_cost,0.0,0.0,0.0,0.0,0.0
evt_0009,NVDA_SMH_QQQ,kalman,2022-01-14,2022-01-24,2022-01-24,validation,baseline_rule_based,long_spread,0,failure,max_holding,0.20628141309411557,-1.7080833827413568,-1.4344620554221885,0.27362132731916833,1.0,0.27362132731916833,0.0,0.27362132731916833,2.0,10,zero_cost,0.0,0.0,0.0,0.0,0.0
